Package                       Version
----------------------------- ------------
absl-py                       2.1.0
accelerate                    1.2.1
addict                        2.4.0
aiofiles                      23.2.1
aiohappyeyeballs              2.4.4
aiohttp                       3.11.11
aiosignal                     1.3.2
aliyun-python-sdk-core        2.16.0
aliyun-python-sdk-kms         2.16.5
annotated-types               0.7.0
anyio                         4.8.0
asttokens                     3.0.0
attrdict                      2.0.1
attrs                         24.3.0
binpacking                    1.5.2
bitsandbytes                  0.45.0
certifi                       2024.12.14
cffi                          1.17.1
charset-normalizer            3.4.1
click                         8.1.8
comm                          0.2.2
contourpy                     1.3.1
cpm-kernels                   1.0.11
crcmod                        1.7
cryptography                  44.0.2
cut-cross-entropy             25.1.1
cycler                        0.12.1
dacite                        1.9.2
datasets                      3.2.0
debugpy                       1.8.11
decorator                     5.1.1
dill                          0.3.8
distro                        1.9.0
dnspython                     2.7.0
docstring_parser              0.16
einops                        0.8.1
eventlet                      0.39.0
executing                     2.1.0
fastapi                       0.115.6
ffmpy                         0.5.0
filelock                      3.13.1
fonttools                     4.56.0
frozenlist                    1.5.0
fsspec                        2024.9.0
future                        1.0.0
gguf                          0.14.0
gmpy2                         2.1.2
gradio                        5.12.0
gradio_client                 1.5.4
greenlet                      3.1.1
grpcio                        1.70.0
h11                           0.14.0
hf_transfer                   0.1.9
httpcore                      1.0.7
httpx                         0.28.1
huggingface-hub               0.30.2
idna                          3.10
importlib_metadata            8.6.1
ipykernel                     6.29.5
ipython                       8.31.0
jedi                          0.19.2
jieba                         0.42.1
Jinja2                        3.1.4
jiter                         0.8.2
jmespath                      0.10.0
joblib                        1.4.2
jupyter_client                8.6.3
jupyter_core                  5.7.2
kiwisolver                    1.4.8
lxml                          5.3.1
Markdown                      3.7
markdown-it-py                3.0.0
MarkupSafe                    2.1.3
matplotlib                    3.10.1
matplotlib-inline             0.1.7
mdurl                         0.1.2
modelscope                    1.23.1
mpmath                        1.3.0
ms_swift                      3.1.1.post1
multidict                     6.1.0
multiprocess                  0.70.16
nest-asyncio                  1.6.0
networkx                      3.3
nltk                          3.9.1
numpy                         1.26.4
openai                        1.65.2
orjson                        3.10.14
oss2                          2.19.1
packaging                     24.2
pandas                        2.2.3
parso                         0.8.4
PasteDeploy                   3.1.0
peft                          0.14.0
pexpect                       4.9.0
pillow                        11.1.0
pip                           24.2
platformdirs                  4.3.6
prompt_toolkit                3.0.48
propcache                     0.2.1
protobuf                      3.20.3
psutil                        6.1.1
ptyprocess                    0.7.0
pure_eval                     0.2.3
pyarrow                       18.1.0
pycparser                     2.22
pycryptodome                  3.21.0
pydantic                      2.10.5
pydantic_core                 2.27.2
pydub                         0.25.1
pyeclib                       1.6.4
Pygments                      2.19.1
pyparsing                     3.2.1
python-dateutil               2.9.0.post0
python-multipart              0.0.20
pytz                          2024.2
PyYAML                        6.0.2
pyzmq                         26.2.0
regex                         2024.11.6
requests                      2.32.3
rich                          13.9.4
rouge                         1.0.1
ruff                          0.9.2
safehttpx                     0.1.6
safetensors                   0.5.2
scipy                         1.15.2
semantic-version              2.10.0
sentencepiece                 0.2.0
setuptools                    69.5.1
shellingham                   1.5.4
shtab                         1.7.1
simplejson                    3.20.1
six                           1.17.0
sniffio                       1.3.1
sortedcontainers              2.4.0
stack-data                    0.6.3
starlette                     0.41.3
swift                         2.34.0
sympy                         1.13.1
tensorboard                   2.19.0
tensorboard-data-server       0.7.2
tiktoken                      0.8.0
tokenizers                    0.21.0
tomlkit                       0.13.2
torch                         2.5.1
tornado                       6.4.2
tqdm                          4.67.1
traitlets                     5.14.3
transformers                  4.51.3
transformers-stream-generator 0.0.5
triton                        3.1.0
trl                           0.13.0
typeguard                     4.4.1
typer                         0.15.1
typing_extensions             4.12.2
tyro                          0.9.9
tzdata                        2024.2
unsloth                       2025.3.19
unsloth_zoo                   2025.3.17
urllib3                       2.3.0
uvicorn                       0.34.0
wcwidth                       0.2.13
websockets                    14.1
Werkzeug                      3.1.3
wheel                         0.44.0
xattr                         1.1.4
xformers                      0.0.28.post3
xxhash                        3.5.0
yarl                          1.18.3
zipp                          3.21.0
zstandard                     0.23.0
